,0
698,-28
699,-25
700,-25
701,-26
702,-25
703,-25
704,-25
705,-25
706,-25
707,-25
708,-25
709,-23
710,-23
711,-22
712,-22
713,-22
714,-22
715,-22
716,-22
717,-22
718,-22
719,-22
720,-21
721,-20
722,-19
723,-19
724,-19
725,-18
726,-18
727,-18
728,-18
729,-17
730,-18
731,-17
732,-17
733,-15
734,-15
735,-15
736,-15
737,-15
738,-12
739,-12
740,-12
741,-13
742,-14
743,-14
744,-14
745,-14
746,-13
747,-13
748,-14
749,-14
750,-13
751,-13
752,-13
753,-12
754,-12
755,-12
756,-12
757,-11
758,-11
759,-11
760,-11
761,-11
762,-11
763,-11
764,0
765,-11
766,-11
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,11
1164,0
1165,0
1166,0
1167,0
1168,0
1169,11
1170,11
1171,11
1172,11
1173,12
1174,12
1175,11
1176,11
1177,13
1178,13
1179,14
1180,16
1181,16
1182,16
1183,16
1184,16
1185,16
1186,16
1187,16
1188,17
1189,17
1190,16
1191,17
1192,17
1193,17
1194,17
1195,17
1196,17
1197,17
1198,18
1199,20
1200,24
1201,24
1202,24
1203,25
1204,25
1205,25
1206,25
1207,25
1208,26
1209,26
1210,26
1211,26
1212,26
1213,26
1214,26
1215,27
1216,27
1217,28
1218,29
1219,30
1220,30
1221,30
1222,33
1223,33
1224,33
1225,35
1226,36
1227,36
1228,36
1229,40
1230,40
1231,40
1232,40
1233,40
1234,40
1235,40
1236,40
1237,40
1238,40
1239,40
1240,40
1241,40
1242,40
1243,40
1244,40
1245,40
1246,41
1247,41
1248,42
1249,43
1250,44
1251,44
1252,44
1253,44
1254,44
1255,44
1256,44
1257,44
1258,44
1259,44
1260,46
1261,49
1262,49
1263,51
1264,51
1265,52
1266,52
1267,52
1268,52
1269,53
1270,53
1271,53
1272,54
1273,54
1274,55
1275,55
1276,55
1277,55
1278,55
1279,55
1280,56
1281,55
1282,55
1283,56
1284,56
1285,56
1286,56
1287,57
1288,57
1289,58
1290,58
1291,58
1292,58
1293,58
1294,58
1295,57
1296,58
1297,58
1298,58
1299,60
1300,59
1301,59
1302,59
1303,59
1304,59
1305,59
1306,62
1307,59
1308,61
1309,61
1310,60
1311,61
1312,62
1313,62
1314,62
1315,62
1316,62
1317,62
1318,64
1319,64
1320,64
1321,64
1322,65
1323,65
1324,65
1325,65
1326,65
1327,65
1328,65
1329,65
1330,65
1331,65
1332,65
1333,65
1334,66
1335,65
1336,65
1337,66
1338,66
1339,66
1340,66
1341,66
1342,66
1343,67
1344,67
1345,67
1346,67
1347,68
1348,68
1349,66
1350,69
1351,69
1352,69
1353,71
1354,70
1355,70
1356,71
1357,72
1358,72
1359,72
1360,72
1361,73
1362,73
1363,73
1364,72
1365,72
1366,72
1367,73
1368,73
1369,73
1370,73
1371,73
1372,73
1373,74
1374,74
1375,73
1376,73
1377,73
1378,73
1379,73
1380,73
1381,73
1382,73
1383,74
1384,74
1385,74
1386,74
1387,74
1388,74
1389,74
1390,74
1391,74
1392,74
1393,74
1394,74
1395,74
1396,74
1397,74
1398,75
1399,75
1400,75
1401,75
1402,75
1403,75
1404,75
1405,75
1406,75
1407,75
1408,75
1409,75
1410,75
1411,75
1412,74
1413,74
1414,75
1415,74
1416,75
1417,75
1418,75
1419,75
1420,76
1421,76
1422,75
1423,75
1424,75
1425,75
1426,75
1427,75
1428,75
1429,75
1430,75
1431,75
1432,75
1433,75
1434,75
1435,75
1436,75
1437,75
1438,75
1439,75
1440,75
1441,75
1442,75
1443,75
1444,75
1445,75
1446,75
1447,75
1448,75
1449,75
1450,75
1451,75
1452,75
1453,74
1454,74
1455,75
1456,75
1457,75
1458,75
1459,75
1460,74
1461,74
1462,74
1463,73
1464,73
1465,75
1466,73
1467,73
1468,73
1469,73
1470,73
1471,73
1472,73
1473,73
1474,73
1475,73
1476,72
1477,72
1478,72
1479,72
1480,72
1481,71
1482,70
1483,70
1484,69
1485,68
1486,66
1487,66
1488,65
1489,64
1490,64
1491,63
1492,61
1493,60
1494,60
1495,58
1496,58
1497,58
1498,58
1499,58
1500,59
1501,57
1502,57
1503,58
1504,58
1505,56
1506,56
1507,56
1508,55
1509,55
1510,54
1511,54
1512,55
1513,55
1514,53
1515,54
1516,53
1517,53
1518,53
1519,53
1520,53
1521,53
1522,53
1523,52
1524,51
1525,51
1526,51
1527,51
1528,51
1529,51
1530,50
1531,50
1532,50
1533,50
1534,47
1535,47
1536,47
1537,44
1538,44
1539,43
1540,43
1541,42
1542,41
1543,41
1544,41
1545,41
1546,40
1547,40
1548,40
1549,40
1550,39
1551,40
1552,40
1553,36
1554,35
1555,34
1556,34
1557,33
1558,33
1559,30
1560,30
1561,29
1562,27
1563,27
1564,26
1565,25
1566,25
1567,25
1568,24
1569,23
1570,23
1571,23
1572,22
1573,20
1574,17
1575,17
1576,16
1577,16
1578,16
1579,16
1580,15
1581,15
1582,16
1583,16
1584,15
1585,15
1586,14
1587,14
1588,13
1589,11
1590,11
1591,11
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,-12
1692,-13
1693,-14
1694,-14
1695,-15
1696,-15
1697,-16
1698,-16
1699,-17
1700,-18
1701,-18
1702,-18
1703,-18
1704,-19
1705,-19
1706,-20
1707,-20
1708,-21
1709,-21
1710,-15
1711,-15
1712,-27
1713,-27
1714,-28
1715,-28
1716,-28
1717,-29
1718,-29
1719,-29
1720,-32
1721,-32
1722,-32
1723,-32
1724,-32
1725,-32
1726,-33
1727,-33
1728,-36
1729,-36
1730,-36
1731,-36
1732,-36
1733,-36
1734,-36
1735,-39
1736,-39
1737,-39
1738,-39
1739,-39
1740,-39
1741,-39
1742,-39
1743,-39
1744,-39
1745,-39
1746,-39
1747,-39
1748,-40
1749,-40
1750,-42
1751,-44
1752,-46
1753,-46
1754,-47
1755,-50
1756,-50
1757,-51
1758,-55
1759,-50
1760,-50
1761,-60
1762,-63
1763,-66
1764,-66
1765,-67
1766,-69
1767,-71
1768,-71
1769,-73
1770,-79
1771,-81
1772,-81
1773,-85
1774,-86
1775,-87
1776,-87
1777,-90
1778,-92
1779,-90
1780,-90
1781,-95
1782,-96
1783,-96
1784,-98
1785,-97
1786,-97
1787,-98
1788,-98
1789,-100
1790,-99
1791,-99
1792,-100
1793,-100
1794,-100
1795,-100
1796,-100
1797,-100
1798,-100
1799,-100
1800,-100
1801,-100
1802,-100
1803,-100
1804,-100
1805,-100
1806,-100
1807,-100
1808,-100
1809,-100
1810,-100
1811,-100
1812,-100
1813,-100
1814,-100
1815,-100
1816,-100
1817,-100
1818,-100
1819,-100
1820,-100
1821,-100
1822,-100
1823,-100
1824,-100
1825,-100
1826,-100
1827,-100
1828,-100
1829,-100
1830,-100
1831,-100
1832,-100
1833,-100
1834,-100
1835,-100
1836,-100
1837,-100
1838,-100
1839,-100
1840,-100
1841,-100
1842,-100
1843,-100
1844,-100
1845,-100
1846,-100
1847,-100
1848,-100
1849,-100
1850,-100
1851,-100
1852,-100
1853,-100
1854,-100
1855,-100
1856,-100
1857,-100
1858,-100
1859,-100
1860,-100
1861,-100
1862,-98
1863,-98
1864,-98
1865,-97
1866,-93
1867,-93
1868,-90
1869,-85
1870,-76
1871,-76
1872,-69
1873,-69
1874,-67
1875,-67
1876,-66
1877,-65
1878,-63
1879,-63
1880,-62
1881,-61
1882,-61
1883,-59
1884,-58
1885,-58
1886,-58
1887,-56
1888,-55
1889,-52
1890,-52
1891,-49
1892,-47
1893,-44
1894,-44
1895,-42
1896,-39
1897,-36
1898,-36
1899,-34
1900,-33
1901,-33
1902,-33
1903,-31
1904,-28
1905,-26
1906,-26
1907,-22
1908,-22
1909,-18
1910,-18
1911,-17
1912,-13
1913,-13
1914,-12
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,11
1966,12
1967,12
1968,13
1969,13
1970,12
1971,12
1972,14
1973,14
1974,15
1975,15
1976,15
1977,15
1978,16
1979,16
1980,17
1981,17
1982,17
1983,18
1984,23
1985,24
1986,24
1987,25
1988,25
1989,25
1990,25
1991,25
1992,25
1993,25
1994,25
1995,24
1996,25
1997,25
1998,25
1999,25
2000,25
2001,25
2002,25
2003,25
2004,25
2005,32
2006,32
2007,35
2008,39
2009,40
2010,40
2011,40
2012,40
2013,40
2014,40
2015,40
2016,40
2017,40
2018,40
2019,40
2020,40
2021,40
2022,40
2023,40
2024,39
2025,39
2026,34
2027,31
2028,25
2029,25
2030,25
2031,19
2032,16
2033,16
2034,13
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,-14
2063,-18
2064,-18
2065,-18
2066,-22
2067,-22
2068,-27
2069,-29
2070,-31
2071,-31
2072,-32
2073,-32
2074,-33
2075,-33
2076,-33
2077,-33
2078,-33
2079,-33
2080,-33
2081,-33
2082,-33
2083,-33
2084,-33
2085,-32
2086,-33
2087,-33
2088,-33
2089,-33
2090,-33
2091,-33
2092,-33
2093,-33
2094,-33
2095,-34
2096,-36
2097,-39
2098,-39
2099,-40
2100,-41
2101,-42
2102,-42
2103,-43
2104,-43
2105,-43
2106,-44
2107,-44
2108,-47
2109,-47
2110,-48
2111,-51
2112,-52
2113,-52
2114,-55
2115,-54
2116,-52
2117,-52
2118,-58
2119,-62
2120,-64
2121,-64
2122,-65
2123,-66
2124,-66
2125,-66
2126,-66
2127,-67
2128,-69
2129,-69
2130,-70
2131,-70
2132,-70
2133,-70
2134,-70
2135,-70
2136,-70
2137,-70
2138,-70
2139,-70
2140,-70
2141,-70
2142,-71
2143,-72
2144,-72
2145,-73
2146,-76
2147,-77
2148,-77
2149,-81
2150,-81
2151,-83
2152,-83
2153,-85
2154,-87
2155,-89
2156,-89
2157,-91
2158,-91
2159,-94
2160,-94
2161,-95
2162,-95
2163,-96
2164,-96
2165,-97
2166,-97
2167,-98
2168,-98
2169,-100
2170,-100
2171,-100
2172,-100
2173,-100
2174,-100
2175,-100
2176,-100
2177,-100
2178,-100
2179,-100
2180,-100
2181,-100
2182,-100
2183,-100
2184,-100
2185,-100
2186,-100
2187,-100
2188,-100
2189,-100
2190,-100
2191,-100
2192,-100
2193,-100
2194,-100
2195,-100
2196,-100
2197,-100
2198,-100
2199,-100
2200,-100
2201,-100
2202,-100
2203,-100
2204,-100
2205,-100
2206,-100
2207,-100
2208,-100
2209,-100
2210,-98
2211,-98
2212,-98
2213,-92
2214,-92
2215,-89
2216,-87
2217,-85
2218,-85
2219,-81
2220,-78
2221,-78
2222,-76
2223,-76
2224,-74
2225,-74
2226,-72
2227,-69
2228,-67
2229,-67
2230,-66
2231,-65
2232,-65
2233,-65
2234,-61
2235,-58
2236,-54
2237,-54
2238,-51
2239,-48
2240,-48
2241,-48
2242,-47
2243,-46
2244,-46
2245,-46
2246,-46
2247,-47
2248,-45
2249,-45
2250,-42
2251,-40
2252,-40
2253,-37
2254,-36
2255,-36
2256,-36
2257,-35
2258,-34
2259,-31
2260,-31
2261,-28
2262,-26
2263,-22
2264,-22
2265,-22
2266,-21
2267,-20
2268,-20
2269,-16
2270,-12
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,13
2303,13
2304,14
2305,15
2306,16
2307,16
2308,16
2309,16
2310,15
2311,15
2312,17
2313,17
2314,17
2315,17
2316,19
2317,23
2318,23
2319,23
2320,24
2321,23
2322,23
2323,24
2324,24
2325,25
2326,25
2327,25
2328,26
2329,26
2330,26
2331,32
2332,34
2333,34
2334,40
2335,40
2336,41
2337,41
2338,40
2339,41
2340,40
2341,40
2342,41
2343,41
2344,41
2345,41
2346,41
2347,42
2348,42
2349,42
2350,42
2351,42
2352,42
2353,42
2354,42
2355,42
2356,42
2357,42
2358,42
2359,42
2360,41
2361,41
2362,43
2363,81
2364,81
2365,82
2366,89
2367,90
2368,90
2369,91
2370,92
2371,93
2372,93
2373,95
2374,99
2375,100
2376,100
2377,100
2378,100
2379,100
2380,100
2381,100
2382,100
2383,100
2384,100
2385,100
2386,99
2387,100
2388,100
2389,100
2390,100
2391,100
2392,100
2393,100
2394,100
2395,100
2396,100
2397,100
2398,100
2399,100
2400,100
2401,99
2402,92
2403,92
2404,91
2405,88
2406,82
2407,82
2408,80
2409,73
2410,66
2411,66
2412,65
2413,65
2414,65
2415,65
2416,64
2417,63
2418,59
2419,59
2420,58
2421,57
2422,57
2423,56
2424,54
2425,50
2426,50
2427,44
2428,41
2429,40
2430,40
2431,40
2432,35
2433,33
2434,33
2435,30
2436,25
2437,18
2438,18
2439,15
2440,15
2441,15
2442,15
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,-14
2465,-14
2466,-18
2467,-21
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,0
2510,0
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
